Optimization Loop ID:  "A"
macd_chwin: 4        (dataspan: 40000)
EURUSD  M1 | 40000  (-0) | normal | Trades: 4750
EURUSD  M1 | 40000  (-0) | normal | Trades: 4597
EURUSD  M1 | 40000  (-0) | normal | Trades: 4871
EURUSD  M1 | 40000  (-0) | normal | Trades: 4708
EURUSD  M1 | 40000  (-0) | normal | Trades: 4515
EURUSD  M1 | 40000  (-0) | normal | Trades: 4358
EURUSD  M1 | 40000  (-0) | normal | Trades: 4325
EURUSD  M1 | 40000  (-0) | normal | Trades: 4177
EURUSD  M1 | 40000  (-0) | normal | Trades: 5645
EURUSD  M1 | 40000  (-0) | normal | Trades: 5420
EURUSD  M1 | 40000  (-0) | normal | Trades: 5210
EURUSD  M1 | 40000  (-0) | normal | Trades: 5015
EURUSD  M1 | 40000  (-0) | normal | Trades: 4841
EURUSD  M1 | 40000  (-0) | normal | Trades: 5387
EURUSD  M1 | 40000  (-0) | normal | Trades: 5132
EURUSD  M1 | 40000  (-0) | normal | Trades: 4932
EURUSD  M1 | 40000  (-0) | normal | Trades: 4750
EURUSD  M1 | 40000  (-0) | normal | Trades: 4597
EURUSD  M1 | 40000  (-0) | normal | Trades: 4871
EURUSD  M1 | 40000  (-0) | normal | Trades: 4708
EURUSD  M1 | 40000  (-0) | normal | Trades: 4515
EURUSD  M1 | 40000  (-0) | normal | Trades: 4358
EURUSD  M1 | 40000  (-0) | normal | Trades: 4325
EURUSD  M1 | 40000  (-0) | normal | Trades: 4177
EURUSD  M1 | 40000  (-0) | normal | Trades: 4054
EURUSD  M1 | 40000  (-0) | normal | Trades: 5387
EURUSD  M1 | 40000  (-0) | normal | Trades: 5132
EURUSD  M1 | 40000  (-0) | normal | Trades: 4932
EURUSD  M1 | 40000  (-0) | normal | Trades: 4750
EURUSD  M1 | 40000  (-0) | normal | Trades: 4597
EURUSD  M1 | 40000  (-0) | normal | Trades: 4871
EURUSD  M1 | 40000  (-0) | normal | Trades: 4708
EURUSD  M1 | 40000  (-0) | normal | Trades: 4515
EURUSD  M1 | 40000  (-0) | normal | Trades: 4358
EURUSD  M1 | 40000  (-0) | normal | Trades: 4325
EURUSD  M1 | 40000  (-0) | normal | Trades: 4177
EURUSD  M1 | 40000  (-0) | normal | Trades: 4054
-----------------------------------
macd_chwin: 2         (dataspan: 40000)
EURUSD  M1 | 40000  (-0) | normal | Trades: 9668
EURUSD  M1 | 40000  (-0) | normal | Trades: 8436
EURUSD  M1 | 40000  (-0) | normal | Trades: 7564
EURUSD  M1 | 40000  (-0) | normal | Trades: 6850
EURUSD  M1 | 40000  (-0) | normal | Trades: 6430
EURUSD  M1 | 40000  (-0) | normal | Trades: 6040
EURUSD  M1 | 40000  (-0) | normal | Trades: 5740
EURUSD  M1 | 40000  (-0) | normal | Trades: 6950
EURUSD  M1 | 40000  (-0) | normal | Trades: 6228
EURUSD  M1 | 40000  (-0) | normal | Trades: 5670
EURUSD  M1 | 40000  (-0) | normal | Trades: 5332
EURUSD  M1 | 40000  (-0) | normal | Trades: 4992
EURUSD  M1 | 40000  (-0) | normal | Trades: 4736
EURUSD  M1 | 40000  (-0) | normal | Trades: 5448
EURUSD  M1 | 40000  (-0) | normal | Trades: 5056
EURUSD  M1 | 40000  (-0) | normal | Trades: 4680
EURUSD  M1 | 40000  (-0) | normal | Trades: 4408
EURUSD  M1 | 40000  (-0) | normal | Trades: 4202
EURUSD  M1 | 40000  (-0) | normal | Trades: 4524
