dataspan = 30.000 (!)

___   CCI-chwin: 2   ___

chval-th: 5
EURUSD  M1 | 30000  (-0) | normal | Trades: 12506
EURUSD  M1 | 30000  (-0) | normal | Trades: 12506
EURUSD  M1 | 30000  (-0) | normal | Trades: 12083
EURUSD  M1 | 30000  (-0) | normal | Trades: 11626
EURUSD  M1 | 30000  (-0) | normal | Trades: 11311
chval-th: 45
EURUSD  M1 | 30000  (-0) | normal | Trades: 13156
EURUSD  M1 | 30000  (-0) | normal | Trades: 12539
EURUSD  M1 | 30000  (-0) | normal | Trades: 12539
EURUSD  M1 | 30000  (-0) | normal | Trades: 12539
EURUSD  M1 | 30000  (-0) | normal | Trades: 12017
EURUSD  M1 | 30000  (-0) | normal | Trades: 12017
EURUSD  M1 | 30000  (-0) | normal | Trades: 12017
EURUSD  M1 | 30000  (-0) | normal | Trades: 11555
EURUSD  M1 | 30000  (-0) | normal | Trades: 11114
EURUSD  M1 | 30000  (-0) | normal | Trades: 10787
chval-th: 50
EURUSD  M1 | 30000  (-0) | normal | Trades: 12763
EURUSD  M1 | 30000  (-0) | normal | Trades: 12062
EURUSD  M1 | 30000  (-0) | normal | Trades: 12062
EURUSD  M1 | 30000  (-0) | normal | Trades: 12062
EURUSD  M1 | 30000  (-0) | normal | Trades: 11587
EURUSD  M1 | 30000  (-0) | normal | Trades: 11587
EURUSD  M1 | 30000  (-0) | normal | Trades: 11587
EURUSD  M1 | 30000  (-0) | normal | Trades: 11072
EURUSD  M1 | 30000  (-0) | normal | Trades: 10637
EURUSD  M1 | 30000  (-0) | normal | Trades: 10270

___   CCI-chwin: 4   ___

chval-th: 5
EURUSD  M1 | 30000  (-0) | normal | Trades: 9603
EURUSD  M1 | 30000  (-0) | normal | Trades: 9598
EURUSD  M1 | 30000  (-0) | normal | Trades: 9598
EURUSD  M1 | 30000  (-0) | normal | Trades: 9598
EURUSD  M1 | 30000  (-0) | normal | Trades: 9658
EURUSD  M1 | 30000  (-0) | normal | Trades: 9658
EURUSD  M1 | 30000  (-0) | normal | Trades: 9658
EURUSD  M1 | 30000  (-0) | normal | Trades: 9631
EURUSD  M1 | 30000  (-0) | normal | Trades: 9603
EURUSD  M1 | 30000  (-0) | normal | Trades: 9588
chval-th: 10
EURUSD  M1 | 30000  (-0) | normal | Trades: 9531
EURUSD  M1 | 30000  (-0) | normal | Trades: 9536
EURUSD  M1 | 30000  (-0) | normal | Trades: 9536
EURUSD  M1 | 30000  (-0) | normal | Trades: 9536
EURUSD  M1 | 30000  (-0) | normal | Trades: 9573
EURUSD  M1 | 30000  (-0) | normal | Trades: 9573
EURUSD  M1 | 30000  (-0) | normal | Trades: 9573
EURUSD  M1 | 30000  (-0) | normal | Trades: 9543
EURUSD  M1 | 30000  (-0) | normal | Trades: 9495
EURUSD  M1 | 30000  (-0) | normal | Trades: 9502
chval-th: 17
EURUSD  M1 | 30000  (-0) | normal | Trades: 9429
EURUSD  M1 | 30000  (-0) | normal | Trades: 9426
EURUSD  M1 | 30000  (-0) | normal | Trades: 9426
EURUSD  M1 | 30000  (-0) | normal | Trades: 9426
EURUSD  M1 | 30000  (-0) | normal | Trades: 9441
EURUSD  M1 | 30000  (-0) | normal | Trades: 9441
EURUSD  M1 | 30000  (-0) | normal | Trades: 9441
EURUSD  M1 | 30000  (-0) | normal | Trades: 9415
EURUSD  M1 | 30000  (-0) | normal | Trades: 9359
EURUSD  M1 | 30000  (-0) | normal | Trades: 9355
chval-th: 25
EURUSD  M1 | 30000  (-0) | normal | Trades: 9305
EURUSD  M1 | 30000  (-0) | normal | Trades: 9267
EURUSD  M1 | 30000  (-0) | normal | Trades: 9267
EURUSD  M1 | 30000  (-0) | normal | Trades: 9267
EURUSD  M1 | 30000  (-0) | normal | Trades: 9280
EURUSD  M1 | 30000  (-0) | normal | Trades: 9280
EURUSD  M1 | 30000  (-0) | normal | Trades: 9280
EURUSD  M1 | 30000  (-0) | normal | Trades: 9257
EURUSD  M1 | 30000  (-0) | normal | Trades: 9178
EURUSD  M1 | 30000  (-0) | normal | Trades: 9145
chval-th: 33
EURUSD  M1 | 30000  (-0) | normal | Trades: 9142
EURUSD  M1 | 30000  (-0) | normal | Trades: 9111
EURUSD  M1 | 30000  (-0) | normal | Trades: 9111
EURUSD  M1 | 30000  (-0) | normal | Trades: 9111
EURUSD  M1 | 30000  (-0) | normal | Trades: 9108
EURUSD  M1 | 30000  (-0) | normal | Trades: 9108
EURUSD  M1 | 30000  (-0) | normal | Trades: 9108
EURUSD  M1 | 30000  (-0) | normal | Trades: 9065
EURUSD  M1 | 30000  (-0) | normal | Trades: 8974
EURUSD  M1 | 30000  (-0) | normal | Trades: 8925
chval-th: 40
EURUSD  M1 | 30000  (-0) | normal | Trades: 8992
EURUSD  M1 | 30000  (-0) | normal | Trades: 8960
EURUSD  M1 | 30000  (-0) | normal | Trades: 8960
EURUSD  M1 | 30000  (-0) | normal | Trades: 8960
EURUSD  M1 | 30000  (-0) | normal | Trades: 8958
EURUSD  M1 | 30000  (-0) | normal | Trades: 8958
EURUSD  M1 | 30000  (-0) | normal | Trades: 8958
EURUSD  M1 | 30000  (-0) | normal | Trades: 8857
EURUSD  M1 | 30000  (-0) | normal | Trades: 8779
EURUSD  M1 | 30000  (-0) | normal | Trades: 8693
chval-th: 45
EURUSD  M1 | 30000  (-0) | normal | Trades: 8894
EURUSD  M1 | 30000  (-0) | normal | Trades: 8840
EURUSD  M1 | 30000  (-0) | normal | Trades: 8840
EURUSD  M1 | 30000  (-0) | normal | Trades: 8840
EURUSD  M1 | 30000  (-0) | normal | Trades: 8841
EURUSD  M1 | 30000  (-0) | normal | Trades: 8841
EURUSD  M1 | 30000  (-0) | normal | Trades: 8841
EURUSD  M1 | 30000  (-0) | normal | Trades: 8715
EURUSD  M1 | 30000  (-0) | normal | Trades: 8613
EURUSD  M1 | 30000  (-0) | normal | Trades: 8525
chval-th: 50
EURUSD  M1 | 30000  (-0) | normal | Trades: 8769
EURUSD  M1 | 30000  (-0) | normal | Trades: 8719
EURUSD  M1 | 30000  (-0) | normal | Trades: 8719
EURUSD  M1 | 30000  (-0) | normal | Trades: 8719
EURUSD  M1 | 30000  (-0) | normal | Trades: 8701
EURUSD  M1 | 30000  (-0) | normal | Trades: 8701
EURUSD  M1 | 30000  (-0) | normal | Trades: 8701
EURUSD  M1 | 30000  (-0) | normal | Trades: 8574
EURUSD  M1 | 30000  (-0) | normal | Trades: 8455
EURUSD  M1 | 30000  (-0) | normal | Trades: 8312

___   CCI-chwin: 5   ___

chval-th: 5
EURUSD  M1 | 30000  (-0) | normal | Trades: 6966
EURUSD  M1 | 30000  (-0) | normal | Trades: 7063
EURUSD  M1 | 30000  (-0) | normal | Trades: 7063
EURUSD  M1 | 30000  (-0) | normal | Trades: 7063
EURUSD  M1 | 30000  (-0) | normal | Trades: 7191
EURUSD  M1 | 30000  (-0) | normal | Trades: 7191
EURUSD  M1 | 30000  (-0) | normal | Trades: 7191
EURUSD  M1 | 30000  (-0) | normal | Trades: 7268
EURUSD  M1 | 30000  (-0) | normal | Trades: 7218
EURUSD  M1 | 30000  (-0) | normal | Trades: 7273
chval-th: 10
