RSI_win: 9 | RSI_chwin: 10 | 
RSI_win: 15 | RSI_chwin: 7 | 
RSI_win: 49 | RSI_chwin: 7 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 7 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 20 | RSI_chwin: 7 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 17 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 18 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 18 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 16 | RSI_chwin: 7 | 
RSI_win: 9 | RSI_chwin: 10 | 
RSI_win: 18 | RSI_chwin: 10 | 
RSI_win: 17 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 10 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 18 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 18 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 8 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 19 | RSI_chwin: 10 | 
RSI_win: 11 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 3 | 
RSI_win: 8 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 4 | 
